date,uah_per_usd
2000-01-01,5.38105806451613
2000-02-01,5.543113793103449
2000-03-01,5.467974193548388
2000-04-01,5.42275
2000-05-01,5.404077419354839
2000-06-01,5.43604
2000-07-01,5.438564516129032
2000-08-01,5.438458064516129
2000-09-01,5.43901
2000-10-01,5.438716129032258
2000-11-01,5.437093333333333
2000-12-01,5.435835483870967
2001-01-01,5.4330870967741935
2001-02-01,5.429553571428571
2001-03-01,5.421367741935484
2001-04-01,5.41818
2001-05-01,5.413693548387097
2001-06-01,5.40124
2001-07-01,5.371148387096774
2001-08-01,5.3466645161290325
2001-09-01,5.338973333333333
2001-10-01,5.310287096774194
2001-11-01,5.287276666666667
2001-12-01,5.294277419354839
2002-01-01,5.312587096774194
2002-02-01,5.320996428571428
2002-03-01,5.3223419354838715
2002-04-01,5.327413333333333
2002-05-01,5.327867741935484
2002-06-01,5.329276666666667
2002-07-01,5.328812903225807
2002-08-01,5.329106451612904
2002-09-01,5.329453333333333
2002-10-01,5.329612903225807
2002-11-01,5.330426666666667
2002-12-01,5.331616129032258
2003-01-01,5.3327064516129035
2003-02-01,5.3338785714285715
2003-03-01,5.3345
2003-04-01,5.334059999999999
2003-05-01,5.33323870967742
2003-06-01,5.332973333333333
2003-07-01,5.33211935483871
2003-08-01,5.331703225806452
2003-09-01,5.331573333333334
2003-10-01,5.331703225806452
2003-11-01,5.33196
2003-12-01,5.331796774193548
2004-01-01,5.331229032258064
2004-02-01,5.3305655172413795
2004-03-01,5.329477419354839
2004-04-01,5.329
2004-05-01,5.327374193548388
2004-06-01,5.321969999999999
2004-07-01,5.318109677419355
2004-08-01,5.313635483870968
2004-09-01,5.309653333333333
2004-10-01,5.306925806451613
2004-11-01,5.306283333333334
2004-12-01,5.305970967741935
2005-01-01,5.3046483870967736
2005-02-01,5.3000107142857145
2005-03-01,5.2920225806451615
2005-04-01,5.19201
2005-05-01,5.05
2005-06-01,5.054833333333333
2005-07-01,5.053225806451613
2005-08-01,5.05
2005-09-01,5.05
2005-10-01,5.05
2005-11-01,5.05
2005-12-01,5.05
2006-01-01,5.05
2006-02-01,5.05
2006-03-01,5.05
2006-04-01,5.05
2006-05-01,5.05
2006-06-01,5.05
2006-07-01,5.05
2006-08-01,5.05
2006-09-01,5.05
2006-10-01,5.05
2006-11-01,5.05
2006-12-01,5.05
2007-01-01,5.05
2007-02-01,5.05
2007-03-01,5.05
2007-04-01,5.05
2007-05-01,5.05
2007-06-01,5.05
2007-07-01,5.05
2007-08-01,5.05
2007-09-01,5.05
2007-10-01,5.05
2007-11-01,5.05
2007-12-01,5.05
2008-01-01,5.05
2008-02-01,5.05
2008-03-01,5.05
2008-04-01,5.05
2008-05-01,4.985612903225807
2008-06-01,4.851926666666667
2008-07-01,4.843074193548387
2008-08-01,4.844574193548388
2008-09-01,4.852996666666667
2008-10-01,5.0429774193548385
2008-11-01,6.004136666666667
2008-12-01,7.581358064516129
2009-01-01,7.7
2009-02-01,7.7
2009-03-01,7.7
2009-04-01,7.7
2009-05-01,7.65298064516129
2009-06-01,7.615773333333333
2009-07-01,7.648132258064516
2009-08-01,7.8066129032258065
2009-09-01,7.999016666666667
2009-10-01,8.000167741935483
2009-11-01,7.994373333333333
2009-12-01,7.9778
2010-01-01,7.996958064516129
2010-02-01,8.000260714285714
2010-03-01,7.967112903225806
2010-04-01,7.925726666666666
2010-05-01,7.925722580645162
2010-06-01,7.915733333333334
2010-07-01,7.901554838709678
2010-08-01,7.890296774193549
2010-09-01,7.9103433333333335
2010-10-01,7.910493548387097
2010-11-01,7.927793333333333
2010-12-01,7.9557032258064515
2011-01-01,7.949696774193548
2011-02-01,7.940792857142857
2011-03-01,7.943964516129032
2011-04-01,7.96495
2011-05-01,7.974596774193548
2011-06-01,7.973249999999999
2011-07-01,7.971203225806452
2011-08-01,7.971122580645161
2011-09-01,7.97283
2011-10-01,7.974674193548387
2011-11-01,7.9839199999999995
2011-12-01,7.989751612903226
2012-01-01,7.989793548387096
2012-02-01,7.988448275862068
2012-03-01,7.9862419354838705
2012-04-01,7.98672
2012-05-01,7.990777419354838
2012-06-01,7.992499999999999
2012-07-01,7.992870967741935
2012-08-01,7.993
2012-09-01,7.993
2012-10-01,7.993
2012-11-01,7.993
2012-12-01,7.993
2013-01-01,7.993
2013-02-01,7.993
2013-03-01,7.993
2013-04-01,7.993
2013-05-01,7.993
2013-06-01,7.993
2013-07-01,7.993
2013-08-01,7.993
2013-09-01,7.993
