year,value,country,indicator
1961,5.74272260133392,EMU,NY.GDP.MKTP.KD.ZG
1962,5.76035075580823,EMU,NY.GDP.MKTP.KD.ZG
1963,4.87497330060114,EMU,NY.GDP.MKTP.KD.ZG
1964,5.86676479936143,EMU,NY.GDP.MKTP.KD.ZG
1965,5.04487357895862,EMU,NY.GDP.MKTP.KD.ZG
1966,4.38855362726088,EMU,NY.GDP.MKTP.KD.ZG
1967,3.44115776699263,EMU,NY.GDP.MKTP.KD.ZG
1968,5.67871727264946,EMU,NY.GDP.MKTP.KD.ZG
1969,7.13070221765958,EMU,NY.GDP.MKTP.KD.ZG
1970,5.60933026681403,EMU,NY.GDP.MKTP.KD.ZG
1971,3.75772120966747,EMU,NY.GDP.MKTP.KD.ZG
1972,4.89280729363637,EMU,NY.GDP.MKTP.KD.ZG
1973,6.11832599882007,EMU,NY.GDP.MKTP.KD.ZG
1974,3.23081305355063,EMU,NY.GDP.MKTP.KD.ZG
1975,-0.769015578282421,EMU,NY.GDP.MKTP.KD.ZG
1976,5.02556006606657,EMU,NY.GDP.MKTP.KD.ZG
1977,3.10171859318331,EMU,NY.GDP.MKTP.KD.ZG
1978,3.1120514104376,EMU,NY.GDP.MKTP.KD.ZG
1979,3.90271291263598,EMU,NY.GDP.MKTP.KD.ZG
1980,2.18187191469465,EMU,NY.GDP.MKTP.KD.ZG
1981,0.545418159882544,EMU,NY.GDP.MKTP.KD.ZG
1982,0.6887772204214,EMU,NY.GDP.MKTP.KD.ZG
1983,1.39550388752609,EMU,NY.GDP.MKTP.KD.ZG
1984,2.40456528995527,EMU,NY.GDP.MKTP.KD.ZG
1985,2.3047536400225,EMU,NY.GDP.MKTP.KD.ZG
1986,2.5193819941004,EMU,NY.GDP.MKTP.KD.ZG
1987,2.53252434854276,EMU,NY.GDP.MKTP.KD.ZG
1988,4.31831021258773,EMU,NY.GDP.MKTP.KD.ZG
1989,4.11112075365263,EMU,NY.GDP.MKTP.KD.ZG
1990,3.59125766124586,EMU,NY.GDP.MKTP.KD.ZG
1991,2.36339610868586,EMU,NY.GDP.MKTP.KD.ZG
1992,1.12209067760165,EMU,NY.GDP.MKTP.KD.ZG
1993,-0.682682169925428,EMU,NY.GDP.MKTP.KD.ZG
1994,2.51527168695237,EMU,NY.GDP.MKTP.KD.ZG
1995,2.46938801978264,EMU,NY.GDP.MKTP.KD.ZG
1996,1.74279875100405,EMU,NY.GDP.MKTP.KD.ZG
1997,2.76386635331764,EMU,NY.GDP.MKTP.KD.ZG
1998,3.00046427355869,EMU,NY.GDP.MKTP.KD.ZG
1999,3.00994305317883,EMU,NY.GDP.MKTP.KD.ZG
2000,3.90141358203564,EMU,NY.GDP.MKTP.KD.ZG
2001,2.18509855153397,EMU,NY.GDP.MKTP.KD.ZG
2002,0.946766858097888,EMU,NY.GDP.MKTP.KD.ZG
2003,0.75319113715031,EMU,NY.GDP.MKTP.KD.ZG
2004,2.31187462582069,EMU,NY.GDP.MKTP.KD.ZG
2005,1.77166717086934,EMU,NY.GDP.MKTP.KD.ZG
2006,3.32457136193729,EMU,NY.GDP.MKTP.KD.ZG
2007,3.01116848351764,EMU,NY.GDP.MKTP.KD.ZG
2008,0.410531246374063,EMU,NY.GDP.MKTP.KD.ZG
2009,-4.48276627207102,EMU,NY.GDP.MKTP.KD.ZG
2010,2.11823129195227,EMU,NY.GDP.MKTP.KD.ZG
2011,1.7775447306567,EMU,NY.GDP.MKTP.KD.ZG
2012,-0.920856755560266,EMU,NY.GDP.MKTP.KD.ZG
2013,-0.166724880410968,EMU,NY.GDP.MKTP.KD.ZG
2014,1.45587546223307,EMU,NY.GDP.MKTP.KD.ZG
2015,2.14365367393994,EMU,NY.GDP.MKTP.KD.ZG
2016,1.80158112775391,EMU,NY.GDP.MKTP.KD.ZG
2017,2.62262590499378,EMU,NY.GDP.MKTP.KD.ZG
2018,1.77991130879937,EMU,NY.GDP.MKTP.KD.ZG
2019,1.62263181033828,EMU,NY.GDP.MKTP.KD.ZG
2020,-6.05674425052126,EMU,NY.GDP.MKTP.KD.ZG
2021,6.43713755486188,EMU,NY.GDP.MKTP.KD.ZG
2022,3.6592192433758,EMU,NY.GDP.MKTP.KD.ZG
2023,0.473405522226571,EMU,NY.GDP.MKTP.KD.ZG
2024,0.911910157337687,EMU,NY.GDP.MKTP.KD.ZG
