year,value,country,indicator
1988,2.56646326960379,UKR,NY.GDP.MKTP.KD.ZG
1989,3.87310321162344,UKR,NY.GDP.MKTP.KD.ZG
1990,-6.34523512831163,UKR,NY.GDP.MKTP.KD.ZG
1991,-8.6999999997216,UKR,NY.GDP.MKTP.KD.ZG
1992,-9.90000000204168,UKR,NY.GDP.MKTP.KD.ZG
1993,-14.1999999993643,UKR,NY.GDP.MKTP.KD.ZG
1994,-22.8999999992283,UKR,NY.GDP.MKTP.KD.ZG
1995,-12.2000000007385,UKR,NY.GDP.MKTP.KD.ZG
1996,-10.0,UKR,NY.GDP.MKTP.KD.ZG
1997,-2.99999999842365,UKR,NY.GDP.MKTP.KD.ZG
1998,-1.90000000214164,UKR,NY.GDP.MKTP.KD.ZG
1999,-0.200000000106499,UKR,NY.GDP.MKTP.KD.ZG
2000,5.90000000024899,UKR,NY.GDP.MKTP.KD.ZG
2001,8.80000000367222,UKR,NY.GDP.MKTP.KD.ZG
2002,5.33964720719075,UKR,NY.GDP.MKTP.KD.ZG
2003,9.51660986436364,UKR,NY.GDP.MKTP.KD.ZG
2004,11.7953525281136,UKR,NY.GDP.MKTP.KD.ZG
2005,3.07123039245209,UKR,NY.GDP.MKTP.KD.ZG
2006,7.57142076322967,UKR,NY.GDP.MKTP.KD.ZG
2007,8.21584445165715,UKR,NY.GDP.MKTP.KD.ZG
2008,2.24349159628288,UKR,NY.GDP.MKTP.KD.ZG
2009,-15.1364679101502,UKR,NY.GDP.MKTP.KD.ZG
2010,4.09200436668087,UKR,NY.GDP.MKTP.KD.ZG
2011,5.44528081048476,UKR,NY.GDP.MKTP.KD.ZG
2012,0.152314967200653,UKR,NY.GDP.MKTP.KD.ZG
2013,0.045439094492707,UKR,NY.GDP.MKTP.KD.ZG
2014,-10.0788949840953,UKR,NY.GDP.MKTP.KD.ZG
2015,-9.7729872128676,UKR,NY.GDP.MKTP.KD.ZG
2016,2.44098194492067,UKR,NY.GDP.MKTP.KD.ZG
2017,2.35997228099491,UKR,NY.GDP.MKTP.KD.ZG
2018,3.48836234022659,UKR,NY.GDP.MKTP.KD.ZG
2019,3.19950386354134,UKR,NY.GDP.MKTP.KD.ZG
2020,-3.75281793983162,UKR,NY.GDP.MKTP.KD.ZG
2021,3.44562065945944,UKR,NY.GDP.MKTP.KD.ZG
2022,-28.7585842155085,UKR,NY.GDP.MKTP.KD.ZG
2023,5.53473354963334,UKR,NY.GDP.MKTP.KD.ZG
2024,2.9138222142611,UKR,NY.GDP.MKTP.KD.ZG
