horizon,beta_dep_yoy,se,lower95,upper95,nobs
0,0.06029280446750029,0.014516061571451293,0.03184132378745576,0.08874428514754482,251
1,0.1317447640416321,0.03147941073407244,0.07004511900285013,0.19344440908041408,251
2,0.19137341481185785,0.04616418980819985,0.10089160278778615,0.28185522683592956,251
3,0.22095306124301542,0.05300705493831635,0.11705923356391537,0.32484688892211544,251
4,0.2491450964315302,0.06163170076726815,0.12834696292768466,0.36994322993537576,251
5,0.26680548416729893,0.06977107905846767,0.1300541692127023,0.40355679912189557,251
6,0.2738757366876913,0.07757009621998674,0.12183834809651725,0.42591312527886527,251
7,0.2767349219971153,0.08656435790437894,0.10706878050453258,0.446401063489698,251
8,0.269632468840186,0.09396643047156272,0.08545826511592305,0.45380667256444895,251
9,0.2653661999682219,0.0997578645442543,0.0698407854614835,0.4608916144749603,251
10,0.25581672180846743,0.10358003220843089,0.052799858679942885,0.458833584936992,251
11,0.2375066297200029,0.10541353655894851,0.030896098064463806,0.44411716137554197,251
12,0.20158252923244963,0.10435090326705462,-0.0029452411709774418,0.4061102996358767,251
